,Date,Team,Returned,Injured,Injury,Length
7930,2002-03-27,Knicks,,Allan Houston,sprained left ankle,(DNP)
7931,2002-03-27,Knicks,,Othella Harrington,sprained right ankle,(DNP)
7932,2002-03-27,Raptors,,Dell Curry,bulging disc in lower back,(out 2 weeks)
7933,2002-03-27,Raptors,,Dell Curry,bulging disc in lower back,(DNP)
7934,2002-03-27,Raptors,,Vince Carter,recovering from left knee surgery,(DNP)
7935,2002-03-28,76ers,,Derrick Coleman,hyperextended left knee,(DNP)
7936,2002-03-28,Bucks,,Ray Allen,stomach virus,(DNP)
7937,2002-03-28,Cavaliers,,Tyrone Hill,sinus infection,(DNP)
7938,2002-03-28,Cavaliers,,Wesley Person,back spasms,(DNP)
7939,2002-03-28,Cavaliers,,Zydrunas Ilgauskas,back spasms,(DNP)
7940,2002-03-28,Jazz,,Donyell Marshall,strained left calf,(DNP)
7941,2002-03-28,Kings,,Lawrence Funderburke,back spasms,(DNP)
7942,2002-03-28,Kings,,Predrag Stojakovic / Peja Stojakovic,strained right hamstring,(DNP)
7943,2002-03-28,Knicks,,Othella Harrington,sprained right ankle,(DNP)
7944,2002-03-28,Mavericks,,Adrian Griffin,sprained left ankle,(DNP)
7945,2002-03-28,Nuggets,,Tim Hardaway Sr.,fractured bone in left foot,(DNP)
7946,2002-03-28,Raptors,,Dell Curry,bulging disc in lower back,(DNP)
7947,2002-03-28,Raptors,,Vince Carter,recovering from left knee surgery,(DNP)
7948,2002-03-29,Blazers,,Rasheed Wallace,strained lower back,(DNP)
7949,2002-03-29,Bucks,,Ray Allen,stomach virus,(DNP)
7950,2002-03-29,Jazz,,Donyell Marshall,strained left calf,(DNP)
7951,2002-03-29,Kings,,Lawrence Funderburke,back spasms,(DNP)
7952,2002-03-29,Kings,,Predrag Stojakovic / Peja Stojakovic,strained right hamstring,(DNP)
7953,2002-03-29,Knicks,,Allan Houston,sprained left ankle,(DNP)
7954,2002-03-29,Mavericks,,Adrian Griffin,sprained left ankle,(DNP)
7955,2002-03-29,Rockets,,Eddie Griffin,sprained left middle toe,(DNP)
7956,2002-03-29,Rockets,,Terence Morris,ingrown toenail,(DNP)
7957,2002-03-29,Sonics,,Rashard Lewis,sprained left ankle,(DNP)
7958,2002-03-30,Blazers,,Rasheed Wallace,strained lower back,(DNP)
7959,2002-03-30,Cavaliers,,Wesley Person,back spasms,(DNP)
7960,2002-03-30,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
7961,2002-03-30,Nuggets,,George McCloud,bruised left thigh,(DNP)
7962,2002-03-30,Nuggets,,Tim Hardaway Sr.,fractured bone in left foot,(DNP)
7963,2002-03-30,Sonics,,Rashard Lewis,sprained left ankle,(DNP)
7964,2002-03-31,76ers,,Craig Claxton / Speedy Claxton,mild concussion,(DNP)
7965,2002-03-31,Bucks,,Ray Allen,stomach virus,(DNP)
7966,2002-03-31,Kings,,Predrag Stojakovic / Peja Stojakovic,strained right hamstring,(DNP)
7967,2002-03-31,Knicks,,Allan Houston,sprained left ankle,(DNP)
7968,2002-03-31,Magic,,Horace Grant,left knee tendinitis,(DNP)
7969,2002-03-31,Mavericks,,Johnny Newman,strained right hamstring,(DNP)
7970,2002-03-31,Nuggets,,George McCloud,bruised left thigh,(DNP)
7971,2002-03-31,Pacers,,Ron Mercer,sore back,(DNP)
7972,2002-03-31,Raptors,,Dell Curry,bulging disc in lower back,(DNP)
7973,2002-03-31,Raptors,,Vince Carter,strained left quadriceps,(DNP)
7974,2002-04-02,Bucks,,Ray Allen,left knee tendinitis,(DNP)
7975,2002-04-02,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
7976,2002-04-02,Grizzlies,,Lorenzen Wright,back spasms,(DNP)
7977,2002-04-02,Hornets,,Lee Nailon,flu,(DNP)
7978,2002-04-02,Kings,,Predrag Stojakovic / Peja Stojakovic,strained right hamstring,(DNP)
7979,2002-04-02,Knicks,,Allan Houston,sprained left ankle,(DNP)
7980,2002-04-02,Knicks,,Othella Harrington,sprained right ankle,(DNP)
7981,2002-04-02,Pacers,,Ron Mercer,back spasms,(DNP)
7982,2002-04-02,Raptors,,Tracy Murray,arthroscopic surgery on right hip to repair cartilage damage and shave bone spurs,(out for season)
7983,2002-04-02,Rockets,,Eddie Griffin,sprained left middle toe,(DNP)
7984,2002-04-02,Sonics,,Rashard Lewis,sprained left ankle,(DNP)
7985,2002-04-02,Wizards,,Ronald Jones / Popeye Jones,back spasms,(DNP)
7986,2002-04-03,Bucks,,Ray Allen,left knee tendinitis,(DNP)
7987,2002-04-03,Bulls,,Trenton Hassell,lower back spasms,(DNP)
7988,2002-04-03,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
7989,2002-04-03,Grizzlies,,Lorenzen Wright,back spasms,(DNP)
7990,2002-04-03,Hornets,,Lee Nailon,flu,(DNP)
7991,2002-04-03,Lakers,,Shaquille O'Neal,sprained right wrist,(DNP)
7992,2002-04-03,Raptors,,Dell Curry,bulging disc in lower back,(DNP)
7993,2002-04-03,Raptors,,Vince Carter,recovering from left knee surgery,(DNP)
7994,2002-04-03,Sonics,,Rashard Lewis,sprained left ankle,(DNP)
7995,2002-04-04,Knicks,,Lavor Postell,bruised left ankle,(DNP)
7996,2002-04-04,Pacers,,Ron Mercer,back spasms,(DNP)
7997,2002-04-05,76ers,,Craig Claxton / Speedy Claxton,mild concussion,(DNP)
7998,2002-04-05,Bulls,,Eddie Robinson,strained left groin,(DNP)
7999,2002-04-05,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
8000,2002-04-05,Grizzlies,,Lorenzen Wright,back spasms,(DNP)
8001,2002-04-05,Jazz,,Karl Malone,sore right knee,(DNP)
8002,2002-04-05,Lakers,,Shaquille O'Neal,sprained right wrist,(DNP)
8003,2002-04-05,Magic,,Mike Miller,sprained left ankle,(DNP)
8004,2002-04-05,Raptors,,Dell Curry,bulging disc in lower back,(DNP)
8005,2002-04-05,Raptors,,Vince Carter,recovering from left knee surgery,(DNP)
8006,2002-04-05,Rockets,,Kelvin Cato,sprained left wrist,(DNP)
8007,2002-04-05,Sonics,,Rashard Lewis,sprained left ankle,(DNP)
8008,2002-04-05,Wizards,,Christian Laettner,back spasms,(DNP)
8009,2002-04-06,Blazers,,Bonzi Wells,sore left knee,(DNP)
8010,2002-04-06,Bulls,,Charles Oakley,sore back,(DNP)
8011,2002-04-06,Bulls,,Eddie Robinson,pulled left groin,(DNP)
8012,2002-04-06,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
8013,2002-04-06,Grizzlies,,Grant Long,strained groin,(DNP)
8014,2002-04-06,Mavericks,,Adrian Griffin,sprained right ankle,(DNP)
8015,2002-04-06,Wizards,,Christian Laettner,back spasms,(DNP)
8016,2002-04-07,76ers,,Craig Claxton / Speedy Claxton,mild concussion,(DNP)
8017,2002-04-07,Knicks,,Lavor Postell,bruised left ankle,(DNP)
8018,2002-04-07,Raptors,,Dell Curry,bulging disc in lower back,(DNP)
8019,2002-04-07,Raptors,,Vince Carter,recovering from left knee surgery,(DNP)
8020,2002-04-08,Bulls,,Charles Oakley,sore back,(DNP)
8021,2002-04-08,Bulls,,Eddie Robinson,strained left groin,(DNP)
8022,2002-04-08,Celtics,,Tony Delk,sore left abductor muscle,(DNP)
8023,2002-04-08,Clippers,,Lamar Odom,surgery on right wrist,(out 3 months)
8024,2002-04-08,Hawks,,Alan Henderson,sore right knee,(DNP)
8025,2002-04-08,Magic,,Mike Miller,sprained left ankle,(DNP)
8026,2002-04-08,Pacers,,Ron Artest / Metta World Peace,sore left heel,(DNP)
8027,2002-04-08,Pistons,,Ben Wallace,sprained right ankle,(DNP)
8028,2002-04-08,Rockets,,Cuttino Mobley,flu,(DNP)
8029,2002-04-08,Sonics,,Rashard Lewis,sprained left ankle,(DNP)
8030,2002-04-09,76ers,,Craig Claxton / Speedy Claxton,mild concussion,(DNP)
8031,2002-04-09,Hawks,,Alan Henderson,sore right knee,(DNP)
8032,2002-04-09,Knicks,,Lavor Postell,bruised left ankle,(DNP)
8033,2002-04-09,Magic,,Mike Miller,sprained left ankle,(DNP)
8034,2002-04-09,Mavericks,,Dirk Nowitzki,sprained left ankle,(DNP)
8035,2002-04-09,Raptors,,Vince Carter,recovering from left knee surgery,(DNP)
8036,2002-04-09,Rockets,,Oscar Torres,bruised right thigh,(DNP)
8037,2002-04-09,Sonics,,Rashard Lewis,sprained left ankle,(DNP)
8038,2002-04-10,76ers,,Craig Claxton / Speedy Claxton,mild concussion,(DNP)
8039,2002-04-10,76ers,,Derrick Coleman,hyperextended left knee,(DNP)
8040,2002-04-10,Bulls,,Charles Oakley,sore right shoulder,(DNP)
8041,2002-04-10,Bulls,,Eddie Robinson,pulled left groin,(DNP)
8042,2002-04-10,Heat,,Chris Gatling,mild consussion,(DNP)
8043,2002-04-10,Pistons,,Ben Wallace,sprained right ankle,(DNP)
8044,2002-04-10,Raptors,,Chris Childs,strained right heel,(DNP)
8045,2002-04-10,Raptors,,Vince Carter,recovering from left knee surgery,(DNP)
8046,2002-04-11,Bulls,,Charles Oakley,sore right shoulder,(DNP)
8047,2002-04-11,Bulls,,Eddie Robinson,pulled left groin,(DNP)
8048,2002-04-11,Bulls,,Marcus Fizer,sprained left ankle,(DNP)
8049,2002-04-11,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
8050,2002-04-11,Grizzlies,,Grant Long,strained groin,(DNP)
8051,2002-04-11,Mavericks,,Dirk Nowitzki,sprained left ankle,(DNP)
8052,2002-04-11,Suns,,Iakovos Tsakalidis / Jake Tsakalidis,right knee tendinitis,(DNP)
8053,2002-04-12,76ers,,Aaron McKie,right corneal abrasion,(DNP)
8054,2002-04-12,Hawks,,Alan Henderson,sore right knee,(DNP)
8055,2002-04-12,Raptors,,Chris Childs,sprained right heel,(DNP)
8056,2002-04-12,Raptors,,Eric Montross,sprained left foot,(DNP)
8057,2002-04-12,Raptors,,Vince Carter,recovering from left knee surgery,(DNP)
8058,2002-04-12,Warriors,,Bob Sura,strained lower back,(DNP)
8059,2002-04-13,Bulls,,Eddie Robinson,pulled left groin,(DNP)
8060,2002-04-13,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
8061,2002-04-13,Hawks,,Alan Henderson,sore right knee,(DNP)
8062,2002-04-13,Mavericks,,Dirk Nowitzki,sprained left ankle,(DNP)
8063,2002-04-13,Nuggets,,Juwan Howard,strained right groin,(DNP)
8064,2002-04-13,Sonics,,Rashard Lewis,sprained left ankle,(DNP)
8065,2002-04-13,Spurs,,David Robinson,sore back,(DNP)
8066,2002-04-13,Suns,,Iakovos Tsakalidis / Jake Tsakalidis,right knee tendinitis,(DNP)
8067,2002-04-13,Warriors,,Bob Sura,strained lower back,(DNP)
8068,2002-04-14,76ers,,Aaron McKie,right corneal abrasion,(DNP)
8069,2002-04-14,76ers,,Derrick Coleman,hyperextended left knee,(DNP)
8070,2002-04-14,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
8071,2002-04-14,Mavericks,,Dirk Nowitzki,sprained left ankle,(DNP)
8072,2002-04-14,Raptors,,Chris Childs,sprained right heel,(DNP)
8073,2002-04-14,Raptors,,Eric Montross,flu-like symptoms,(DNP)
8074,2002-04-14,Raptors,,Vince Carter,recovering from left knee surgery,(DNP)
8075,2002-04-14,Rockets,,Cuttino Mobley,flu,(DNP)
8076,2002-04-14,Rockets,,Dan Langhi,sprained right ankle,(DNP)
8077,2002-04-14,Rockets,,Kelvin Cato,strained left knee,(DNP)
8078,2002-04-14,Rockets,,Steve Francis,strained right shoulder,(DNP)
8079,2002-04-14,Wizards,,Jahidi White,sprained right ankle,(DNP)
8080,2002-04-15,76ers,,Dikembe Mutombo,left knee tendinitis,(DNP)
8081,2002-04-16,Bucks,,Jason Caffey,surgery on right ankle to remove bone spurs,(Length Undetermined)
8082,2002-04-16,Bucks,,Michael Redd,sprained MCL in left knee,(DNP)
8083,2002-04-16,Clippers,,Jeff McInnis,bruised left thigh,(DNP)
8084,2002-04-16,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
8085,2002-04-16,Hawks,,Alan Henderson,sore right knee,(DNP)
8086,2002-04-16,Heat,,Brian Grant,sprained right elbow,(DNP)
8087,2002-04-16,Kings,,Chris Webber,sprained right thumb,(DNP)
8088,2002-04-16,Nuggets,,George McCloud,corneal abrasion,(DNP)
8089,2002-04-16,Nuggets,,Juwan Howard,strained right groin,(DNP)
8090,2002-04-16,Raptors,,Eric Montross,sprained left knee,(DNP)
8091,2002-04-16,Raptors,,Vince Carter,recovering from left knee surgery,(DNP)
8092,2002-04-16,Rockets,,Cuttino Mobley,flu,(DNP)
8093,2002-04-16,Rockets,,Kevin Willis,right knee tendinitis,(DNP)
8094,2002-04-16,Rockets,,Steve Francis,strained right shoulder,(DNP)
8095,2002-04-16,Warriors,,Bob Sura,strained lower back,(DNP)
8096,2002-04-16,Wizards,,Jahidi White,sprained right ankle,(DNP)
8097,2002-04-16,Wizards,,Richard Hamilton,strained right groin,(DNP)
8098,2002-04-17,76ers,,Dikembe Mutombo,left knee tendinitis,(DNP)
8099,2002-04-17,Bulls,,Eddie Robinson,strained left groin,(DNP)
8100,2002-04-17,Cavaliers,,Zydrunas Ilgauskas,DNP,(Length Undetermined)
8101,2002-04-17,Grizzlies,,Brevin Knight,plantar fasciaitis in left foot,(DNP)
8102,2002-04-17,Hornets,,P.J. Brown,sprained left ankle,(DNP)
8103,2002-04-17,Kings,,Chris Webber,sprained right thumb,(DNP)
8104,2002-04-17,Kings,,Hidayet Turkoglu / Hedo Turkoglu,sprained left wrist,(DNP)
8105,2002-04-17,Magic,,Tracy McGrady,strained lower back,(DNP)
8106,2002-04-17,Nets,,Lucious Harris,sore hamstring,(DNP)
8107,2002-04-17,Nuggets,,George McCloud,corneal abrasion,(DNP)
8108,2002-04-17,Nuggets,,Juwan Howard,strained right groin,(DNP)
8109,2002-04-17,Nuggets,,Voshon Lenard,right knee tendinitis,(DNP)
8110,2002-04-17,Raptors,,Eric Montross,sprained left foot,(DNP)
8111,2002-04-17,Raptors,,Vince Carter,recovering from left knee surgery,(DNP)
8112,2002-04-17,Raptors,Stan Albeck,,returned to bench,(Length Undetermined)
8113,2002-04-17,Rockets,,Cuttino Mobley,flu,(DNP)
8114,2002-04-17,Rockets,,Kevin Willis,right knee tendinitis,(DNP)
8115,2002-04-17,Rockets,,Steve Francis,strained right shoulder,(DNP)
8116,2002-04-17,Sonics,,Rashard Lewis,sprained left ankle,(DNP)
8117,2002-04-17,Warriors,,Bob Sura,strained lower back,(DNP)
8118,2002-04-17,Warriors,,Chris Mills,infected left fifth toe,(DNP)
8119,2002-04-17,Warriors,,Larry Hughes,sprained left ankle,(DNP)
8120,2002-04-18,Celtics,,Vitaly Potapenko,partially torn ACL in left knee,(out indefinitely)
8121,2002-04-20,Hornets,,Jamal Mashburn,flu-like symptoms,(left game)
8122,2002-04-21,Raptors,,Eric Montross,sprained left foot,(DNP)
8123,2002-04-22,Spurs,,David Robinson,strained lower back,(DNP)
8124,2002-04-23,Hornets,,Jamal Mashburn,virus / anemia & B12 deficiency,(DNP)
8125,2002-04-24,Raptors,,Eric Montross,sprained left foot,(DNP)
8126,2002-04-24,Suns,,Stephon Marbury,surgery on left ankle to remove bone spurs,(Length Undetermined)
8127,2002-04-25,Celtics,,Vitaly Potapenko,partially torn ACL in left knee,(DNP)
8128,2002-04-26,Hornets,,Jamal Mashburn,virus / anemia & B12 deficiency,(DNP)
8129,2002-04-26,Spurs,,David Robinson,strained lower back,(DNP)
8130,2002-04-27,Hornets,,Jamal Mashburn,virus / anemia & B12 deficiency,(DNP)
8131,2002-04-27,Raptors,,Eric Montross,sprained left foot,(DNP)
8132,2002-04-27,Spurs,,David Robinson,sore lower back,(DNP)
8133,2002-04-28,Celtics,,Vitaly Potapenko,partially torn ACL in left knee,(DNP)
8134,2002-04-28,Mavericks,,Adrian Griffin,back spasms,(DNP)
8135,2002-04-29,Raptors,,Eric Montross,sprained left foot,(DNP)
8136,2002-04-29,Sonics,,Rashard Lewis,partially dislocated left shoulder,(out 3 weeks)
8137,2002-04-30,Hornets,,Jamal Mashburn,virus / anemia & B12 deficiency,(DNP)
8138,2002-04-30,Raptors,,Eric Montross,broken left foot,(out for season)
8139,2002-05-01,Celtics,,Vitaly Potapenko,partially torn ACL in left knee,(DNP)
8140,2002-05-01,Sonics,,Rashard Lewis,partially dislocated left shoulder,(DNP)
8141,2002-05-01,Spurs,,David Robinson,sore lower back,(DNP)
8142,2002-05-02,Raptors,,Eric Montross,stress fracture in left foot,(DNP)
8143,2002-05-03,Celtics,,Vitaly Potapenko,partially torn ACL in left knee,(DNP)
8144,2002-05-03,Sonics,,Rashard Lewis,partially separated left shoulder,(DNP)
8145,2002-05-03,Spurs,,Charles Smith,sprained right shoulder,(DNP)
8146,2002-05-03,Spurs,,David Robinson,sprained lower back,(DNP)
8147,2002-05-04,Kings,,Mateen Cleaves,sprained left ankle,(DNP)
8148,2002-05-04,Mavericks,,Adrian Griffin,back spasms,(DNP)
8149,2002-05-05,Celtics,,Vitaly Potapenko,partially torn ACL in left knee,(DNP)
8150,2002-05-05,Hornets,,Jamal Mashburn,viral illness,(DNP)
8151,2002-05-05,Pistons,,Zeljko Rebraca,broken right hand,(out for season)
8152,2002-05-05,Pistons,,Zeljko Rebraca,broken right hand,(DNP)
8153,2002-05-05,Spurs,,Charles Smith,sprained right shoulder,(DNP)
8154,2002-05-05,Spurs,,David Robinson,strained lower back,(DNP)
8155,2002-05-06,Kings,,Mateen Cleaves,sprained left ankle,(DNP)
8156,2002-05-06,Pistons,,Zeljko Rebraca,surgery on broken right hand,(Length Undetermined)
8157,2002-05-07,Hornets,,Jamal Mashburn,viral illness,(DNP)
8158,2002-05-07,Spurs,,Charles Smith,sprained right shoulder,(DNP)
8159,2002-05-07,Spurs,,David Robinson,sore lower back,(DNP)
8160,2002-05-08,Celtics,,Vitaly Potapenko,partially torn ACL in left knee,(DNP)
8161,2002-05-08,Pistons,,Zeljko Rebraca,broken right hand,(DNP)
8162,2002-05-09,Hornets,,Jamal Mashburn,viral illness,(DNP)
8163,2002-05-10,Celtics,,Vitaly Potapenko,partially torn ACL in left knee,(DNP)
8164,2002-05-10,Kings,,Predrag Stojakovic / Peja Stojakovic,sprained right ankle,(DTD)
8165,2002-05-10,Pistons,,Zeljko Rebraca,broken right hand,(DNP)
8166,2002-05-11,Kings,,Predrag Stojakovic / Peja Stojakovic,sprained right ankle,(DNP)
8167,2002-05-12,Celtics,,Vitaly Potapenko,partially torn ACL in left knee,(DNP)
8168,2002-05-12,Hornets,,Jamal Mashburn,viral illness,(DNP)
8169,2002-05-12,Pistons,,Zeljko Rebraca,broken right hand,(DNP)
8170,2002-05-13,Kings,,Mateen Cleaves,sprained left ankle,(DNP)
8171,2002-05-13,Kings,,Predrag Stojakovic / Peja Stojakovic,sprained right ankle,(DNP)
8172,2002-05-14,Celtics,,Vitaly Potapenko,partially torn ACL in left knee,(DNP)
8173,2002-05-14,Pistons,,Zeljko Rebraca,broken right hand,(DNP)
8174,2002-05-14,Raptors,,Alvin Williams,arthroscopic surgery on right knee,(Length Undetermined)
8175,2002-05-15,Hornets,,Jamal Mashburn,viral illness,(DNP)
8176,2002-05-16,Suns,,Stephon Marbury,surgery on right ankle to remove general inflammation,(Length Undetermined)
8177,2002-05-18,Kings,,Predrag Stojakovic / Peja Stojakovic,sprained right ankle,(DNP)
8178,2002-05-19,Celtics,,Vitaly Potapenko,surgery on left knee to repair partially torn ACL,(out 6-8 months)
8179,2002-05-19,Celtics,,Vitaly Potapenko,partially torn ACL in left knee,(DNP)
8180,2002-05-20,Kings,,Predrag Stojakovic / Peja Stojakovic,sprained right ankle,(DNP)
8181,2002-05-21,76ers,,Craig Claxton / Speedy Claxton,arthroscopic surgery on left shoulder,(Length Undetermined)
8182,2002-05-21,Celtics,,Vitaly Potapenko,partially torn ACL in left knee,(DNP)
8183,2002-05-21,Mavericks,,Adrian Griffin,surgery on back to remove herniated disc,(Length Undetermined)
8184,2002-05-21,Raptors,,Alvin Williams,arthroscopic surgery on right knee,(Length Undetermined)
8185,2002-05-23,Blazers,,Scottie Pippen,minor surgery on right knee,(Length Undetermined)
8186,2002-05-24,Jazz,,Donyell Marshall,surgery on right wrist,(Length Undetermined)
8187,2002-05-24,Kings,,Predrag Stojakovic / Peja Stojakovic,sprained right ankle,(DNP)
8188,2002-05-25,Celtics,,Vitaly Potapenko,partially torn ACL in left knee,(DNP)
8189,2002-05-26,Kings,,Predrag Stojakovic / Peja Stojakovic,sprained right ankle,(DNP)
8190,2002-05-27,Celtics,,Vitaly Potapenko,partially torn ACL in left knee,(DNP)
8191,2002-05-29,Celtics,,Vitaly Potapenko,partially torn ACL in left knee,(DNP)
8192,2002-05-30,Rockets,,Steve Francis,surgery on right shoulder to repair lining,(Length Undetermined)
8193,2002-05-31,Celtics,,Vitaly Potapenko,partially torn ACL in left knee,(DNP)
8194,2002-05-31,Mavericks,,Dirk Nowitzki,surgery on left ankle to remove bone spurs,(Length Undetermined)
8195,2002-06-10,76ers,,Derrick Coleman,arthroscopic surgery on left knee,(Length Undetermined)
8196,2002-06-11,Celtics,,Eric Williams,arthroscopic surgery on left knee to remove loose particles and surgery on right pinky finger to straighten it,(Length Undetermined)
8197,2002-06-18,76ers,,Aaron McKie,arthroscopic surgery on right shoulder,(out 3-4 months)
8198,2002-06-18,Raptors,,Alvin Williams,arthroscopic surgery on left knee to remove inflammation and on left ankle to remove bone spurs,(Length Undetermined)
8199,2002-06-20,Nets,,Aaron Williams,arthroscopic surgery on both knees to remove debris,(Length Undetermined)
8200,2002-06-20,Nets,,Kenyon Martin,surgery on right wrist to remove bone chips,(Length Undetermined)
8201,2002-06-27,Jazz,,Greg Ostertag,surgery to donate kidney to sister,(Length Undetermined)
8202,2002-07-10,Rockets,,Bostjan Nachbar,surgery to repair hernia,(date approximate)
8203,2002-07-17,Knicks,,Frank Williams,surgery on broken left wrist,(Length Undetermined)
8204,2002-07-19,Clippers,,Keyon Dooling,arthroscopic surgery on left ankle,(out 6 weeks)
8205,2002-07-21,Jazz,,Curtis Borchardt,stress fracture in right foot,(out 4-6 weeks)
8206,2002-07-26,Cavaliers,,Bryant Stith,arthroscopic surgery on right knee,(Length Undetermined)
8207,2002-07-30,Cavaliers,,DeSagana Diop,arthroscopic surgery on right knee,(Length Undetermined)
8208,2002-08-14,Heat,,Eddie House,broken ring finger on left hand,(out 4-6 weeks)
8209,2002-08-19,Jazz,,Curtis Borchardt,surgery on right foot to insert screw,(date approximate)
8210,2002-08-19,Jazz,,Raul Lopez,torn ACL in right knee,(out for season)
8211,2002-08-20,Nuggets,,Nene / Nene Hilario / Maybyner Hilario,strained left abductor muscle,(out 1 month)
8212,2002-08-20,Wizards,,Jahidi White,surgery on left knee to repair quadriceps tendon,(out 3 months)
8213,2002-08-26,Clippers,,Lamar Odom,injured ankle,(out 12 weeks)
8214,2002-08-26,Magic,,Steven Hunter,torn ACL in right knee,(out indefinitely)
8215,2002-08-28,Bucks,,Joel Przybilla,surgery to remove bone spurs from left ankle,(Length Undetermined)
